2022-02-17 오전 11:55:45 | 수집 작업을 시작합니다.
2022-02-18 오전 10:06:54 | 2022-02-18 10:00 미세먼지 데이터를 수집합니다.
2022-02-18 오전 11:06:57 | 2022-02-18 11:00 미세먼지 데이터를 수집합니다.
2022-02-18 오후 12:06:59 | 2022-02-18 12:00 미세먼지 데이터를 수집합니다.
2022-02-18 오후 1:07:03 | 2022-02-18 13:00 미세먼지 데이터를 수집합니다.
2022-02-18 오후 2:07:08 | 2022-02-18 14:00 미세먼지 데이터를 수집합니다.
2022-02-18 오후 3:07:13 | 2022-02-18 15:00 미세먼지 데이터를 수집합니다.
2022-02-18 오후 4:07:20 | 2022-02-18 16:00 미세먼지 데이터를 수집합니다.
2022-02-18 오후 5:07:23 | 2022-02-18 17:00 미세먼지 데이터를 수집합니다.
2022-02-18 오후 6:07:26 | 2022-02-18 18:00 미세먼지 데이터를 수집합니다.
2022-02-18 오후 7:07:28 | 2022-02-18 19:00 미세먼지 데이터를 수집합니다.
2022-02-18 오후 8:07:30 | 2022-02-18 20:00 미세먼지 데이터를 수집합니다.
2022-02-18 오후 9:07:33 | 2022-02-18 21:00 미세먼지 데이터를 수집합니다.
2022-02-18 오후 10:07:35 | 2022-02-18 22:00 미세먼지 데이터를 수집합니다.
2022-02-18 오후 11:07:38 | 2022-02-18 23:00 미세먼지 데이터를 수집합니다.
2022-02-19 오전 12:07:40 | 2022-02-18 24:00 미세먼지 데이터를 수집합니다.
2022-02-19 오전 1:07:42 | 2022-02-19 01:00 미세먼지 데이터를 수집합니다.
2022-02-19 오전 2:07:44 | 2022-02-19 02:00 미세먼지 데이터를 수집합니다.
2022-02-19 오전 3:57:45 | 2022-02-19 03:00 미세먼지 데이터를 수집합니다.
2022-02-19 오전 4:07:45 | 2022-02-19 04:00 미세먼지 데이터를 수집합니다.
2022-02-19 오전 5:07:47 | 2022-02-19 05:00 미세먼지 데이터를 수집합니다.
2022-02-19 오전 6:07:50 | 2022-02-19 06:00 미세먼지 데이터를 수집합니다.
2022-02-19 오전 7:07:52 | 2022-02-19 07:00 미세먼지 데이터를 수집합니다.
2022-02-19 오전 8:07:54 | 2022-02-19 08:00 미세먼지 데이터를 수집합니다.
2022-02-19 오전 9:07:57 | 2022-02-19 09:00 미세먼지 데이터를 수집합니다.
2022-02-19 오전 10:08:00 | 2022-02-19 10:00 미세먼지 데이터를 수집합니다.
2022-02-19 오전 11:08:02 | 2022-02-19 11:00 미세먼지 데이터를 수집합니다.
2022-02-19 오후 12:08:08 | 2022-02-19 12:00 미세먼지 데이터를 수집합니다.
2022-02-19 오후 1:08:11 | 2022-02-19 13:00 미세먼지 데이터를 수집합니다.
2022-02-19 오후 2:08:14 | 2022-02-19 14:00 미세먼지 데이터를 수집합니다.
2022-02-19 오후 3:08:17 | 2022-02-19 15:00 미세먼지 데이터를 수집합니다.
2022-02-19 오후 4:08:19 | 2022-02-19 16:00 미세먼지 데이터를 수집합니다.
2022-02-19 오후 5:08:22 | 2022-02-19 17:00 미세먼지 데이터를 수집합니다.
2022-02-19 오후 6:08:24 | 2022-02-19 18:00 미세먼지 데이터를 수집합니다.
2022-02-19 오후 7:08:27 | 2022-02-19 19:00 미세먼지 데이터를 수집합니다.
2022-02-19 오후 8:08:30 | 2022-02-19 20:00 미세먼지 데이터를 수집합니다.
2022-02-19 오후 9:08:32 | 2022-02-19 21:00 미세먼지 데이터를 수집합니다.
2022-02-20 오전 3:14:44 | 2022-02-20 03:00 미세먼지 데이터를 수집합니다.
2022-02-20 오전 4:04:46 | 2022-02-20 04:00 미세먼지 데이터를 수집합니다.
2022-02-20 오전 5:04:49 | 2022-02-20 05:00 미세먼지 데이터를 수집합니다.
2022-02-20 오전 6:04:52 | 2022-02-20 06:00 미세먼지 데이터를 수집합니다.
2022-02-20 오전 7:04:54 | 2022-02-20 07:00 미세먼지 데이터를 수집합니다.
2022-02-20 오전 8:04:57 | 2022-02-20 08:00 미세먼지 데이터를 수집합니다.
2022-02-20 오전 9:05:00 | 2022-02-20 09:00 미세먼지 데이터를 수집합니다.
2022-02-20 오전 10:05:04 | 2022-02-20 10:00 미세먼지 데이터를 수집합니다.
2022-02-20 오전 11:05:11 | 2022-02-20 11:00 미세먼지 데이터를 수집합니다.
2022-02-20 오후 12:05:15 | 2022-02-20 12:00 미세먼지 데이터를 수집합니다.
2022-02-20 오후 1:05:18 | 2022-02-20 13:00 미세먼지 데이터를 수집합니다.
2022-02-20 오후 2:05:21 | 2022-02-20 14:00 미세먼지 데이터를 수집합니다.
2022-02-20 오후 3:05:23 | 2022-02-20 15:00 미세먼지 데이터를 수집합니다.
2022-02-20 오후 4:05:26 | 2022-02-20 16:00 미세먼지 데이터를 수집합니다.
2022-02-20 오후 5:05:29 | 2022-02-20 17:00 미세먼지 데이터를 수집합니다.
2022-02-20 오후 6:05:32 | 2022-02-20 18:00 미세먼지 데이터를 수집합니다.
2022-02-20 오후 7:05:35 | 2022-02-20 19:00 미세먼지 데이터를 수집합니다.
2022-02-20 오후 8:05:38 | 2022-02-20 20:00 미세먼지 데이터를 수집합니다.
2022-02-20 오후 9:05:41 | 2022-02-20 21:00 미세먼지 데이터를 수집합니다.
2022-02-20 오후 10:05:44 | 2022-02-20 22:00 미세먼지 데이터를 수집합니다.
2022-02-20 오후 11:05:47 | 2022-02-20 23:00 미세먼지 데이터를 수집합니다.
2022-02-21 오전 12:05:50 | 2022-02-20 24:00 미세먼지 데이터를 수집합니다.
2022-02-21 오전 1:05:53 | 2022-02-21 01:00 미세먼지 데이터를 수집합니다.
2022-02-21 오전 2:05:56 | 2022-02-21 02:00 미세먼지 데이터를 수집합니다.
2022-02-21 오전 3:05:59 | 2022-02-21 03:00 미세먼지 데이터를 수집합니다.
2022-02-21 오전 4:06:03 | 2022-02-21 04:00 미세먼지 데이터를 수집합니다.
2022-02-21 오전 5:06:09 | 2022-02-21 05:00 미세먼지 데이터를 수집합니다.
2022-02-21 오전 6:06:15 | 2022-02-21 06:00 미세먼지 데이터를 수집합니다.
2022-02-21 오전 7:06:18 | 2022-02-21 07:00 미세먼지 데이터를 수집합니다.
2022-02-21 오전 8:06:21 | 2022-02-21 08:00 미세먼지 데이터를 수집합니다.
2022-02-21 오전 9:06:25 | 2022-02-21 09:00 미세먼지 데이터를 수집합니다.
2022-02-21 오전 10:06:28 | 2022-02-21 10:00 미세먼지 데이터를 수집합니다.
2022-02-21 오전 11:06:31 | 2022-02-21 11:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 12:06:33 | 2022-02-21 12:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 1:06:38 | 2022-02-21 13:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 2:06:41 | 2022-02-21 14:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 3:07:18 | 2022-02-21 15:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 4:07:49 | 2022-02-21 16:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 4:18:19 | 2022-02-21 16:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 4:28:30 | 2022-02-21 16:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 4:38:38 | 2022-02-21 16:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 4:48:39 | 2022-02-21 16:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 4:58:39 | 2022-02-21 16:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 5:08:40 | 2022-02-21 17:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 5:18:40 | 2022-02-21 17:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 5:28:41 | 2022-02-21 17:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 5:38:41 | 2022-02-21 17:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 5:48:42 | 2022-02-21 17:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 5:58:42 | 2022-02-21 17:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 6:08:43 | 2022-02-21 18:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 6:18:43 | 2022-02-21 18:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 6:28:44 | 2022-02-21 18:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 6:38:44 | 2022-02-21 18:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 6:48:45 | 2022-02-21 18:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 6:58:46 | 2022-02-21 18:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 7:08:47 | 2022-02-21 19:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 7:18:47 | 2022-02-21 19:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 7:28:48 | 2022-02-21 19:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 7:38:48 | 2022-02-21 19:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 7:48:49 | 2022-02-21 19:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 7:58:49 | 2022-02-21 19:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 8:08:50 | 2022-02-21 20:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 9:08:52 | 2022-02-21 21:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 10:08:55 | 2022-02-21 22:00 미세먼지 데이터를 수집합니다.
2022-02-21 오후 11:08:58 | 2022-02-21 23:00 미세먼지 데이터를 수집합니다.
2022-02-22 오전 12:09:01 | 2022-02-21 24:00 미세먼지 데이터를 수집합니다.
2022-02-22 오전 1:09:03 | 2022-02-22 01:00 미세먼지 데이터를 수집합니다.
2022-02-22 오전 2:09:08 | 2022-02-22 02:00 미세먼지 데이터를 수집합니다.
2022-02-22 오전 3:09:11 | 2022-02-22 03:00 미세먼지 데이터를 수집합니다.
2022-02-22 오전 4:09:14 | 2022-02-22 04:00 미세먼지 데이터를 수집합니다.
2022-02-22 오전 5:09:16 | 2022-02-22 05:00 미세먼지 데이터를 수집합니다.
2022-02-22 오전 6:09:19 | 2022-02-22 06:00 미세먼지 데이터를 수집합니다.
2022-02-22 오전 7:09:22 | 2022-02-22 07:00 미세먼지 데이터를 수집합니다.
2022-02-22 오전 8:09:25 | 2022-02-22 08:00 미세먼지 데이터를 수집합니다.
2022-02-22 오전 9:09:31 | 2022-02-22 09:00 미세먼지 데이터를 수집합니다.
2022-02-22 오전 10:09:33 | 2022-02-22 10:00 미세먼지 데이터를 수집합니다.
2022-02-22 오전 11:09:36 | 2022-02-22 11:00 미세먼지 데이터를 수집합니다.
2022-02-22 오후 12:09:37 | 2022-02-22 12:00 미세먼지 데이터를 수집합니다.
2022-02-22 오후 1:09:40 | 2022-02-22 13:00 미세먼지 데이터를 수집합니다.
2022-02-22 오후 2:09:42 | 2022-02-22 14:00 미세먼지 데이터를 수집합니다.
2022-02-22 오후 3:09:45 | 2022-02-22 15:00 미세먼지 데이터를 수집합니다.
2022-02-22 오후 4:09:48 | 2022-02-22 16:00 미세먼지 데이터를 수집합니다.
2022-02-22 오후 5:09:51 | 2022-02-22 17:00 미세먼지 데이터를 수집합니다.
2022-02-22 오후 6:09:54 | 2022-02-22 18:00 미세먼지 데이터를 수집합니다.
2022-02-22 오후 7:09:57 | 2022-02-22 19:00 미세먼지 데이터를 수집합니다.
2022-02-22 오후 8:10:00 | 2022-02-22 20:00 미세먼지 데이터를 수집합니다.
2022-02-22 오후 9:10:41 | 2022-02-22 21:00 미세먼지 데이터를 수집합니다.
2022-02-22 오후 10:10:59 | 2022-02-22 22:00 미세먼지 데이터를 수집합니다.
2022-02-22 오후 11:11:56 | 2022-02-22 23:00 미세먼지 데이터를 수집합니다.
2022-02-23 오전 12:11:59 | 2022-02-22 24:00 미세먼지 데이터를 수집합니다.
2022-02-23 오전 1:12:27 | 2022-02-23 01:00 미세먼지 데이터를 수집합니다.
2022-02-23 오전 2:12:45 | 2022-02-23 02:00 미세먼지 데이터를 수집합니다.
2022-02-23 오전 3:13:19 | 2022-02-23 03:00 미세먼지 데이터를 수집합니다.
2022-02-23 오전 4:03:58 | 2022-02-23 04:00 미세먼지 데이터를 수집합니다.
2022-02-23 오전 5:04:21 | 2022-02-23 05:00 미세먼지 데이터를 수집합니다.
2022-02-23 오전 6:04:31 | 2022-02-23 06:00 미세먼지 데이터를 수집합니다.
2022-02-23 오전 7:04:34 | 2022-02-23 07:00 미세먼지 데이터를 수집합니다.
2022-02-23 오전 8:05:13 | 2022-02-23 08:00 미세먼지 데이터를 수집합니다.
2022-02-23 오전 9:05:17 | 2022-02-23 09:00 미세먼지 데이터를 수집합니다.
2022-02-23 오전 10:05:19 | 2022-02-23 10:00 미세먼지 데이터를 수집합니다.
2022-02-23 오전 11:05:23 | 2022-02-23 11:00 미세먼지 데이터를 수집합니다.
2022-02-23 오후 12:05:26 | 2022-02-23 12:00 미세먼지 데이터를 수집합니다.
2022-02-23 오후 1:07:10 | 2022-02-23 13:00 미세먼지 데이터를 수집합니다.
2022-02-23 오후 2:07:13 | 2022-02-23 14:00 미세먼지 데이터를 수집합니다.
2022-02-23 오후 3:07:16 | 2022-02-23 15:00 미세먼지 데이터를 수집합니다.
2022-02-23 오후 4:07:19 | 2022-02-23 16:00 미세먼지 데이터를 수집합니다.
2022-02-23 오후 5:07:22 | 2022-02-23 17:00 미세먼지 데이터를 수집합니다.
2022-02-23 오후 6:18:54 | 2022-02-23 18:00 미세먼지 데이터를 수집합니다.
2022-02-23 오후 7:30:29 | 2022-02-23 19:00 미세먼지 데이터를 수집합니다.
2022-02-23 오후 8:21:46 | 2022-02-23 20:00 미세먼지 데이터를 수집합니다.
2022-02-23 오후 9:13:12 | 2022-02-23 21:00 미세먼지 데이터를 수집합니다.
2022-02-23 오후 10:45:25 | 2022-02-23 22:00 미세먼지 데이터를 수집합니다.
2022-02-23 오후 11:07:05 | 2022-02-23 23:00 미세먼지 데이터를 수집합니다.
2022-02-24 오전 12:08:00 | 2022-02-23 24:00 미세먼지 데이터를 수집합니다.
2022-02-24 오전 1:29:58 | 2022-02-24 01:00 미세먼지 데이터를 수집합니다.
2022-02-24 오전 2:21:10 | 2022-02-24 02:00 미세먼지 데이터를 수집합니다.
2022-02-24 오전 3:11:14 | 2022-02-24 03:00 미세먼지 데이터를 수집합니다.
2022-02-24 오전 4:12:24 | 2022-02-24 04:00 미세먼지 데이터를 수집합니다.
2022-02-24 오전 5:34:36 | 2022-02-24 05:00 미세먼지 데이터를 수집합니다.
2022-02-24 오전 6:05:01 | 2022-02-24 06:00 미세먼지 데이터를 수집합니다.
2022-02-24 오전 7:05:27 | 2022-02-24 07:00 미세먼지 데이터를 수집합니다.
2022-02-24 오전 8:57:58 | 2022-02-24 08:00 미세먼지 데이터를 수집합니다.
2022-02-24 오전 9:28:40 | 2022-02-24 09:00 미세먼지 데이터를 수집합니다.
2022-02-24 오전 10:09:12 | 2022-02-24 10:00 미세먼지 데이터를 수집합니다.
2022-02-24 오전 11:09:14 | 2022-02-24 11:00 미세먼지 데이터를 수집합니다.
2022-02-24 오후 12:09:23 | 2022-02-24 12:00 미세먼지 데이터를 수집합니다.
2022-02-24 오후 12:19:24 | 2022-02-24 12:00 미세먼지 데이터를 수집합니다.
2022-02-24 오후 12:29:24 | 2022-02-24 12:00 미세먼지 데이터를 수집합니다.
2022-02-24 오후 12:39:25 | 2022-02-24 12:00 미세먼지 데이터를 수집합니다.
2022-02-24 오후 12:49:26 | 2022-02-24 12:00 미세먼지 데이터를 수집합니다.
2022-02-24 오후 12:59:26 | 2022-02-24 12:00 미세먼지 데이터를 수집합니다.
2022-02-24 오후 1:09:27 | 2022-02-24 13:00 미세먼지 데이터를 수집합니다.
2022-02-24 오후 2:09:29 | 2022-02-24 14:00 미세먼지 데이터를 수집합니다.
2022-02-24 오후 3:09:31 | 2022-02-24 15:00 미세먼지 데이터를 수집합니다.
2022-02-24 오후 4:09:34 | 2022-02-24 16:00 미세먼지 데이터를 수집합니다.
2022-02-24 오후 4:12:15 | 수집 작업을 중지합니다.

